variable,correlation,abs_correlation,is_circular,status
transactional_account_binary,0.7030340777974738,0.7030340777974738,True,CIRCULAR
access_agents,0.6753184744762585,0.6753184744762585,True,CIRCULAR
access_agents_raw,0.6753184744762581,0.6753184744762581,True,CIRCULAR
financial_agents_binary,0.5527946279927795,0.5527946279927795,True,CIRCULAR
wealth_numeric,0.48505222316438473,0.48505222316438473,False,VALID
education_numeric,0.47477173045961657,0.47477173045961657,False,VALID
urban,0.27607015166226717,0.27607015166226717,False,VALID
mobile_money_binary,0.23811722390559173,0.23811722390559173,True,CIRCULAR
income_numeric,0.2253113236684132,0.2253113236684132,False,VALID
savings_frequency_numeric,0.2018767479828443,0.2018767479828443,False,VALID
Year,0.13693761520077186,0.13693761520077186,False,VALID
runs_out_of_money,0.11996749973518159,0.11996749973518159,False,VALID
gender_male,0.09747837125231817,0.09747837125231817,False,VALID
Population,0.06950461697632437,0.06950461697632437,False,VALID
Age_numeric,0.03272879369019067,0.03272879369019067,False,VALID
