column,dtype,unique_values,missing_count,missing_pct,sample_values
respondent_serial,int64,28392,0,0.0,"[3697287, 3546312, 3737095]"
weighting_variable,float64,4610,0,0.0,"[686.9920654, 1292.105957, 274.3084106]"
Education,object,3,429,1.51,"['Secondary school and above', 'Secondary school and above', 'Secondary school and above']"
Gender,object,2,5,0.02,"['Female', 'Female', 'Male']"
Age_Group,object,2,0,0.0,"['18 and above', '18 and above', '18 and above']"
Sector,object,3,7,0.02,"['Urban', 'Urban', 'Urban']"
Income_Level,object,20,16,0.06,"['N15,001 - N35,000 per month', 'N35,001 - N55,000 per month', 'N15,001 - N35,000 per month']"
Salary_from_Government_including_NYSC,object,2,21657,76.28,"['No', 'No', 'No']"
Salary_Wages_From_A_Business_Company,object,2,21657,76.28,"['No', 'No', 'No']"
Salary_Wages_From_An_Individual_With_Own_Business,object,2,4,0.01,"['No', 'No', 'No']"
Salary_Wages_From_An_Individual_For_Chores,object,2,4,0.01,"['No', 'No', 'No']"
Subsistence_Small scale farming,object,2,4,0.01,"['No', 'No', 'No']"
Commercial_Large_scale_farming,object,2,4,0.01,"['No', 'No', 'No']"
Own_Business_Trader_Non-farming,object,2,4,0.01,"['No', 'Yes', 'No']"
Own_Business_Trader_Farming_Produce_Livestock,object,2,4,0.01,"['No', 'Yes', 'No']"
Own_Business_Trader_Agricultural_Inputs,object,2,17168,60.47,"['No', 'No', 'No']"
Own_Business _Provide_service,object,2,4,0.01,"['Yes', 'No', 'No']"
Rent,object,2,4,0.01,"['No', 'No', 'No']"
Pension,object,2,4,0.01,"['No', 'No', 'No']"
Government_Grant,object,2,4,0.01,"['No', 'No', 'No']"
Drought_Relief,object,2,4,0.01,"['No', 'No', 'No']"
Interest_On_Savings,object,2,5,0.02,"['No', 'No', 'No']"
Return_On_Investments,object,2,7,0.02,"['No', 'No', 'No']"
Get_Money_From_Family_Friends (Students),object,2,8,0.03,"['No', 'No', 'No']"
"Get_Money_From_Family_Friends(unemployed, 
non -students)",object,2,6,0.02,"['No', 'No', 'Yes']"
E9_19_Get_Money_From_Family_Friends(retired),object,2,5,0.02,"['No', 'No', 'No']"
Is there a financial service agent close to where you live (home)? -,object,2,8,0.03,"['no', 'no', 'no']"
Is there an atm close to where you live (home)?,object,2,8,0.03,"['no', 'no', 'no']"
Is there a microfinance close to where you live (home),object,2,8,0.03,"['no', 'no', 'no']"
Is there a non interest service provider close to where you live?,object,2,8,0.03,"['no', 'no', 'no']"
Is there a primary mortgage bank close to where you live,object,2,8,0.03,"['no', 'no', 'no']"
Mobile Phone,object,2,0,0.0,"['yes', 'yes', 'yes']"
Reliable phone network?,object,3,0,0.0,"['yes', 'no', 'yes']"
Bank_Account,object,2,0,0.0,"['yes', 'no', 'no']"
NIN,object,2,0,0.0,"['yes', 'yes', 'yes']"
BVN,object,2,0,0.0,"['no', 'no', 'no']"
Formally_Included,int64,2,0,0.0,"[0, 0, 0]"
