feature,coefficient,abs_coefficient
state_DELTA,0.2158640802266165,0.2158640802266165
state_KOGI,0.13880294724226586,0.13880294724226586
state_LAGOS,0.11393554515860539,0.11393554515860539
state_OGUN,0.10302012909939945,0.10302012909939945
state_KWARA,0.06725996556030968,0.06725996556030968
state_OYO,0.061749968799899524,0.061749968799899524
state_EDO,0.032221095227721,0.032221095227721
state_OSUN,0.020603041828979787,0.020603041828979787
state_FCT,0.01737968157896144,0.01737968157896144
state_CROSS RIVER,0.00848995663101973,0.00848995663101973
state_KEBBI,0.006609020592326266,0.006609020592326266
state_RIVERS,-0.005748752638804391,0.005748752638804391
state_BAYELSA,-0.010436495128099764,0.010436495128099764
state_NIGER,-0.011065179908049637,0.011065179908049637
state_IMO,-0.014118166823598547,0.014118166823598547
state_AKWA IBOM,-0.042682732989007516,0.042682732989007516
state_NASARAWA,-0.044375050713570265,0.044375050713570265
state_BENUE,-0.05408223825016447,0.05408223825016447
state_JIGAWA,-0.0643106362970892,0.0643106362970892
state_BAUCHI,-0.07059198182761625,0.07059198182761625
state_KADUNA,-0.07207660434713584,0.07207660434713584
state_YOBE,-0.07436983086726516,0.07436983086726516
state_TARABA,-0.07498554469351444,0.07498554469351444
state_EKITI,-0.08113518957341719,0.08113518957341719
state_PLATEAU,-0.08195455079394377,0.08195455079394377
state_ANAMBRA,-0.08655862305779555,0.08655862305779555
state_ENUGU,-0.09734413334691633,0.09734413334691633
state_EBONYI,-0.1041855015526909,0.1041855015526909
state_ONDO,-0.1260035697835486,0.1260035697835486
state_ZAMFARA,-0.12738086197287474,0.12738086197287474
state_ADAMAWA,-0.12942485451364247,0.12942485451364247
state_KANO,-0.12995787682763948,0.12995787682763948
state_SOKOTO,-0.1514947891968171,0.1514947891968171
state_GOMBE,-0.24003075285390593,0.24003075285390593
state_KATSINA,-0.340417189681083,0.340417189681083
state_BORNO,-0.41599539627154225,0.41599539627154225
