respondent_serial,TrustOfMobileMoney_x,Year,invest_money,lga_name,region,state,PropertyType,PreferredLanguage,Gender,EducationLevel,FinancialService,WealthQuintile,Population,Sector,FormallyIncluded,FinanciallyIncluded,MaritalStatus,PrimarySourceOfMoney,MoneyReceivingMethod,FrequentyUsedTransactionMethod,RunningOutOfMoneyFrequency (for 12 months),SavingFrequency,Coping_Mechanism_When_Out_Of_Money,MobileMoneyUsage,TrustOfMobileMoney_y,TransactionalAccount,FinancialAgents,Age_numeric,Age_group,IncomeLevel,EducationLevel_copy
464630,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,Hausa,Male,Below Secondary Education,Commercial bank,Moderate,153.8052673339844,Rural,1,1,Married (Monogamy),Subsistence/small scale farming,Cash,Not specified,Yes,Monthly,Cut down on other expenses,No,,Yes,,70.0,56+,"₦35,001 – ₦55,000",Non-formal education (e.g. Arabic/Quranic education)
464632,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,Hausa,Male,Below Secondary Education,None of the above,Poor,153.8052673339844,Rural,0,0,Never married,Get money from family/friends,Cash,Not specified,Yes,Occasionally/when you have surplus money,Received gifts/donations/contributions from friends/family,No,,No,,18.0,18-25,"Below ₦15,000",Secondary incomplete
464683,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,English,Male,Above Secondary Education,Commercial bank,Poor,153.8052673339844,Rural,1,1,Never married,Get money from family/friends,Cash,Not specified,Yes,No response,"Did nothing specific (waited, prayed)",No,,Yes,,26.0,26-35,"Below ₦15,000",University/Polytechnic OND
464634,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Single room,Hausa,Male,Secondary Education,None of the above,Poor,153.8052673339844,Rural,1,1,Never married,Subsistence/small scale farming,Cash,Not specified,Yes,Occasionally/when you have surplus money,Sold asset(s),No,,No,,25.0,18-25,"Below ₦15,000",Secondary complete
464636,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,Hausa,Male,Secondary Education,Commercial bank,Poor,153.8052673339844,Rural,1,1,Never married,Subsistence/small scale farming,Cash,Bank transfer,No,No response,No response,No,,Yes,,18.0,18-25,"Below ₦15,000",Secondary complete
464682,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,English,Female,Above Secondary Education,Commercial bank,Rich,153.8052673339844,Rural,1,1,Married (Monogamy),Get money from family/friends,Cash,Not specified,No,Occasionally/when you have surplus money,No response,No,,Yes,,24.0,18-25,"₦15,000 – ₦35,000",University/Polytechnic OND
464684,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,English,Male,Secondary Education,None of the above,Moderate,153.8052673339844,Rural,0,0,Married (Monogamy),Subsistence/small scale farming,Cash,Family/Friend,Yes,Weekly,Borrowed from family/friends,No,,No,,23.0,18-25,"₦35,001 – ₦55,000",Secondary complete
464685,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,English,Male,Above Secondary Education,Commercial bank,Moderate,153.8052673339844,Rural,1,1,Married (Monogamy),Subsistence/small scale farming,Cash,Bank transfer,Yes,Monthly,Borrowed from family/friends,No,,Yes,,25.0,18-25,"₦35,001 – ₦55,000",University/Polytechnic HND
464635,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,Hausa,Male,Secondary Education,Village/Community Association,Moderate,153.8052673339844,Rural,1,1,Never married,Subsistence/small scale farming,Cash,Bank transfer,Yes,Weekly,Sold asset(s),No,,No,,24.0,18-25,"Below ₦15,000",Secondary complete
464686,No Response,2018,No Response,LAFIA,North Central,NASARAWA,Apartment/flat,English,Male,Above Secondary Education,Commercial bank,Moderate,153.8052673339844,Rural,1,1,Married (Monogamy),Commercial/large scale farming,Cash,Bank transfer,Yes,No response,Borrowed from family/friends,Yes,Yes,Yes,,31.0,26-35,"₦15,000 – ₦35,000",University/Polytechnic HND
