variable,coefficient,std_error,z_value,p_value,conf_low,conf_high,abs_coef,rank
access_agents,19.78142861150703,107.0253291592934,0.18482941156915225,0.85336283819476,-189.9843619742525,229.54721919726657,19.78142861150703,1
transactional_account_binary,-6.874389301641877,45.25767998277855,-0.1518944255264017,0.8792702050639452,-95.57781209172717,81.8290334884434,6.874389301641877,2
wealth_numeric,0.4944209720139115,0.02577378820661518,19.18309284030711,5.1239840146756697e-82,0.44390527538378255,0.5449366686440404,0.4944209720139115,3
education_numeric,0.410110189247,0.021937264491687994,18.694682256413067,5.469533537662711e-78,0.36711394092396216,0.4531064375700378,0.410110189247,4
year_2023,-0.3349621625805301,0.021080582652633018,-15.889606473409902,7.479564364394984e-57,-0.3762793453528106,-0.29364497980824955,0.3349621625805301,5
mobile_money_binary,0.3057410775502191,742952.8461242983,4.1152151061154656e-07,0.9999996716533402,-1456160.5148740758,1456161.1263562308,0.3057410775502191,6
region_South West,-0.208866344001624,0.022635692120150423,-9.227300976394266,2.7753690385167044e-20,-0.2532314853222559,-0.16450120268099205,0.208866344001624,7
income_numeric,0.2013941513849135,0.024374105396076182,8.26262741184891,1.425005016311947e-16,0.1536217826532208,0.24916652011660623,0.2013941513849135,8
runs_out_of_money,0.18333938024798732,0.01729137424041877,10.60293865015249,2.8876137388778197e-26,0.1494489094935629,0.21722985100241174,0.18333938024798732,9
region_North West,0.16183364156437885,0.022011456786330087,7.352245838852584,1.9490390526131044e-13,0.11869197901591212,0.2049753041128456,0.16183364156437885,10
gender_male,0.13201422285415979,0.017718095436416326,7.450813397405487,9.276649478672197e-14,0.09728739392414029,0.16674105178417928,0.13201422285415979,11
savings_frequency_numeric,-0.12804109540364023,0.017749273359142222,-7.2138781578733955,5.438041835296349e-13,-0.16282903193931525,-0.0932531588679652,0.12804109540364023,12
urban,0.11608604206333407,0.02144657092739856,5.412802002535105,6.204608570470982e-08,0.07405153545374911,0.15812054867291903,0.11608604206333407,13
region_North East,0.0991677511665836,0.020943990017984505,4.734902522462469,2.1916040545759375e-06,0.05811828503876758,0.14021721729439962,0.0991677511665836,14
region_South East,0.06288674292847073,0.020675599345105638,3.041592259493913,0.0023533043443504462,0.022363312853283746,0.10341017300365771,0.06288674292847073,15
Population,-0.034195278602538196,0.01895653555936838,-1.8038780607060227,0.07125042502208077,-0.07134940557055307,0.0029588483654766767,0.034195278602538196,16
Age_numeric,0.028700991018459486,0.017272822882077387,1.6616271245529985,0.09658756124804624,-0.005153119741751533,0.0625551017786705,0.028700991018459486,17
region_South South,-0.01711927074135095,0.021459001592557276,-0.7977664136661653,0.42500605516042356,-0.059178141006950874,0.024939599524248974,0.01711927074135095,18
year_2020,0.0,1926009.9053224977,0.0,1.0,-3774910.0482994947,3774910.0482994947,0.0,19
