feature,importance,adjusted_importance,domain_weight
Pension,0.09212233244960502,0.09212233244960502,1.0
Salary_from_Government_including_NYSC,0.07403503495777607,0.07403503495777607,1.0
Salary_Wages_From_An_Individual_For_Chores,0.050699446518788764,0.050699446518788764,1.0
Return_On_Investments,0.04545514686005768,0.04545514686005768,1.0
Salary_Wages_From_A_Business_Company,0.035100529171823915,0.035100529171823915,1.0
NIN,0.025061294443254993,0.03508581222055699,1.4
Get_Money_From_Family_Friends_Retired,0.031859281099220385,0.031859281099220385,1.0
Commercial_Large_scale_farming,0.03178347792677266,0.03178347792677266,1.0
"Get_Money_From_Family_Friends(unemployed, 
non -students)_Yes",0.031573157818963485,0.031573157818963485,1.0
Own_Business_Provide_service,0.030420166990742025,0.030420166990742025,1.0
