feature,importance,adjusted_importance,domain_weight
NIN,0.057626444459516965,0.08067702224332375,1.4
Own_Business_Provide_service,0.07184669168346625,0.07184669168346625,1.0
Bank_Account,0.057160984099666814,0.06859318091960018,1.2
Is there a microfinance close to where you live (home)_yes,0.06815579403570188,0.06815579403570188,1.0
E9_19_Get_Money_From_Family_Friends(retired)_No,0.06263667187462395,0.06263667187462395,1.0
"Get_Money_From_Family_Friends(unemployed, 
non -students)_Yes",0.06010916365900387,0.06010916365900387,1.0
Is there an atm close to where you live (home)?_no,0.05490299612248096,0.05490299612248096,1.0
Own_Business_Trader_Non_farming,0.05213541579449563,0.05213541579449563,1.0
BVN,0.029853417444126444,0.04179478442177702,1.4
Subsistence_Small scale farming_No,0.03345283369271285,0.03345283369271285,1.0
